sno,search_key,display_key,description,additional _notes,sec_recommendation,link_external,link_internal
,,AcquireSRWLockExclusive,kernal32.dll,,,,
,,AcquireSRWLockShared,kernal32.dll,,,,
,,AcquireStateLock,kernal32.dll,,,,
,,ActivateActCtx,kernal32.dll,,,,
,,ActivateActCtxWorker,kernal32.dll,,,,
,,AddAtomA,kernal32.dll,,,,
,,AddAtomW,kernal32.dll,,,,
,,AddConsoleAliasA,kernal32.dll,,,,
,,AddConsoleAliasW,kernal32.dll,,,,
,,AddDllDirectory,kernal32.dll,,,,
,,AddIntegrityLabelToBoundaryDescriptor,kernal32.dll,,,,
,,AddLocalAlternateComputerNameA,kernal32.dll,,,,
,,AddLocalAlternateComputerNameW,kernal32.dll,,,,
,,AddRefActCtx,kernal32.dll,,,,
,,AddRefActCtxWorker,kernal32.dll,,,,
,,AddResourceAttributeAce,kernal32.dll,,,,
,,AddSIDToBoundaryDescriptor,kernal32.dll,,,,
,,AddScopedPolicyIDAce,kernal32.dll,,,,
,,AddSecureMemoryCacheCallback,kernal32.dll,,,,
,,AddVectoredContinueHandler,kernal32.dll,,,,
,,AddVectoredExceptionHandler,kernal32.dll,,,,
,,AdjustCalendarDate,kernal32.dll,,,,
,,AllocConsole,kernal32.dll,,,,
,,AllocLSCallback,kernal32.dll,,,,
,,AllocMappedBuffer (38),kernal32.dll,,,,
,,AllocSLCallback,kernal32.dll,,,,
,,AllocateUserPhysicalPages,kernal32.dll,,,,
,,AllocateUserPhysicalPagesNuma,kernal32.dll,,,,
,,AppContainerDeriveSidFromMoniker,kernal32.dll,,,,
,,AppContainerFreeMemory,kernal32.dll,,,,
,,AppContainerLookupDisplayNameMrtReference,kernal32.dll,,,,
,,AppContainerLookupMoniker,kernal32.dll,,,,
,,AppContainerRegisterSid,kernal32.dll,,,,
,,AppContainerUnregisterSid,kernal32.dll,,,,
,,AppXFreeMemory,kernal32.dll,,,,
,,AppXGetApplicationData,kernal32.dll,,,,
,,AppXGetDevelopmentMode,kernal32.dll,,,,
,,AppXGetOSMaxVersionTested,kernal32.dll,,,,
,,AppXGetOSMinVersion,kernal32.dll,,,,
,,AppXGetPackageCapabilities,kernal32.dll,,,,
,,AppXGetPackageSid,kernal32.dll,,,,
,,AppXGetPackageState,kernal32.dll,,,,
,,AppXLookupDisplayName,kernal32.dll,,,,
,,AppXLookupMoniker,kernal32.dll,,,,
,,AppXSetPackageState,kernal32.dll,,,,
,,ApplicationRecoveryFinished,kernal32.dll,,,,
,,ApplicationRecoveryInProgress,kernal32.dll,,,,
,,AreFileApisANSI,kernal32.dll,,,,
,,AssignProcessToJobObject,kernal32.dll,,,,
,,AttachConsole,kernal32.dll,,,,
,,BackupRead,kernal32.dll,,,,
,,BackupSeek,kernal32.dll,,,,
,,BackupWrite,kernal32.dll,,,,
,,BaseAttachCompleteThunk,kernal32.dll,,,,
,,BaseCheckAppcompatCache,kernal32.dll,,,,
,,BaseCheckAppcompatCacheEx,kernal32.dll,,,,
,,BaseCheckAppcompatCacheExWorker,kernal32.dll,,,,
,,BaseCheckAppcompatCacheWorker,kernal32.dll,,,,
,,BaseCheckElevation,kernal32.dll,,,,
,,BaseCheckRunApp,kernal32.dll,,,,
,,BaseCleanupAppcompatCache,kernal32.dll,,,,
,,BaseCleanupAppcompatCacheSupport,kernal32.dll,,,,
,,BaseCleanupAppcompatCacheSupportWorker,kernal32.dll,,,,
,,BaseDestroyVDMEnvironment,kernal32.dll,,,,
,,BaseDllReadWriteIniFile,kernal32.dll,,,,
,,BaseDumpAppcompatCache,kernal32.dll,,,,
,,BaseDumpAppcompatCacheWorker,kernal32.dll,,,,
,,BaseElevationPostProcessing,kernal32.dll,,,,
,,BaseFlushAppcompatCache,kernal32.dll,,,,
,,BaseFlushAppcompatCacheWorker,kernal32.dll,,,,
,,BaseFormatObjectAttributes,kernal32.dll,,,,
,,BaseFormatTimeOut,kernal32.dll,,,,
,,BaseFreeAppCompatDataForProcessWorker,kernal32.dll,,,,
,,BaseGenerateAppCompatData,kernal32.dll,,,,
,,BaseGetNamedObjectDirectory,kernal32.dll,,,,
,,BaseInitAppcompatCache,kernal32.dll,,,,
,,BaseInitAppcompatCacheSupport,kernal32.dll,,,,
,,BaseInitAppcompatCacheSupportWorker,kernal32.dll,,,,
,,BaseIsAppcompatInfrastructureDisabled,kernal32.dll,,,,
,,BaseIsAppcompatInfrastructureDisabledWorker,kernal32.dll,,,,
,,BaseIsDosApplication,kernal32.dll,,,,
,,BaseProcessInitPostImport,kernal32.dll,,,,
,,BaseProcessStart,kernal32.dll,,,,
,,BaseQueryModuleData,kernal32.dll,,,,
,,BaseReadAppCompatDataForProcessWorker,kernal32.dll,,,,
,,BaseSetLastNTError,kernal32.dll,,,,
,,BaseThreadInitThunk,kernal32.dll,,,,
,,BaseThreadStart,kernal32.dll,,,,
,,BaseUpdateAppcompatCache,kernal32.dll,,,,
,,BaseUpdateAppcompatCacheWorker,kernal32.dll,,,,
,,BaseUpdateVDMEntry,kernal32.dll,,,,
,,BaseVerifyUnicodeString,kernal32.dll,,,,
,,BaseWriteErrorElevationRequiredEvent,kernal32.dll,,,,
,,Basep8BitStringToDynamicUnicodeString,kernal32.dll,,,,
,,BasepAllocateActivationContextActivationBlock,kernal32.dll,,,,
,,BasepAnsiStringToDynamicUnicodeString,kernal32.dll,,,,
,,BasepAppCompatHookDLL,kernal32.dll,,,,
,,BasepAppContainerEnvironmentExtension,kernal32.dll,,,,
,,BasepAppXExtension,kernal32.dll,,,,
,,BasepCheckAppCompat,kernal32.dll,,,,
,,BasepCheckBadapp,kernal32.dll,,,,
,,BasepCheckWebBladeHashes,kernal32.dll,,,,
,,BasepCheckWinSaferRestrictions,kernal32.dll,,,,
,,BasepConstructSxsCreateProcessMessage,kernal32.dll,,,,
,,BasepCopyEncryption,kernal32.dll,,,,
,,BasepFreeActivationContextActivationBlock,kernal32.dll,,,,
,,BasepFreeAppCompatData,kernal32.dll,,,,
,,BasepGetAppCompatData,kernal32.dll,,,,
,,BasepGetComputerNameFromNtPath,kernal32.dll,,,,
,,BasepGetExeArchType,kernal32.dll,,,,
,,BasepIsProcessAllowed,kernal32.dll,,,,
,,BasepMapModuleHandle,kernal32.dll,,,,
,,BasepNotifyLoadStringResource,kernal32.dll,,,,
,,BasepPostSuccessAppXExtension,kernal32.dll,,,,
,,BasepProcessInvalidImage,kernal32.dll,,,,
,,BasepQueryAppCompat,kernal32.dll,,,,
,,BasepReleaseAppXContext,kernal32.dll,,,,
,,BasepReleaseSxsCreateProcessUtilityStruct,kernal32.dll,,,,
,,BasepReportFault,kernal32.dll,,,,
,,BasepSetFileEncryptionCompression,kernal32.dll,,,,
,,Beep,kernal32.dll,,,,
,,BeginUpdateResourceA,kernal32.dll,,,,
,,BeginUpdateResourceW,kernal32.dll,,,,
,,BindIoCompletionCallback,kernal32.dll,,,,
,,BoostFileCache (101),kernal32.dll,,,,
,,BuildCommDCBA,kernal32.dll,,,,
,,BuildCommDCBAndTimeoutsA,kernal32.dll,,,,
,,BuildCommDCBAndTimeoutsW,kernal32.dll,,,,
,,BuildCommDCBW,kernal32.dll,,,,
,,CallNamedPipeA,kernal32.dll,,,,
,,CallNamedPipeW,kernal32.dll,,,,
,,CallbackMayRunLong,kernal32.dll,,,,
,,CalloutOnFiberStack,kernal32.dll,,,,
,,CancelDeviceWakeupRequest,kernal32.dll,,,,
,,CancelIo,kernal32.dll,,,,
,,CancelIoEx,kernal32.dll,,,,
,,CancelSynchronousIo,kernal32.dll,,,,
,,CancelThreadpoolIo,kernal32.dll,,,,
,,CancelTimerQueueTimer,kernal32.dll,,,,
,,CancelWaitableTimer,kernal32.dll,,,,
,,CeipIsOptedIn,kernal32.dll,,,,
,,ChangeTimerQueueTimer,kernal32.dll,,,,
,,CheckAllowDecryptedRemoteDestinationPolicy,kernal32.dll,,,,
,,CheckElevation,kernal32.dll,,,,
,,CheckElevationEnabled,kernal32.dll,,,,
,,CheckForReadOnlyResource,kernal32.dll,,,,
,,CheckForReadOnlyResourceFilter,kernal32.dll,,,,
,,CheckNameLegalDOS8Dot3A,kernal32.dll,,,,
,,CheckNameLegalDOS8Dot3W,kernal32.dll,,,,
,,CheckRemoteDebuggerPresent,kernal32.dll,,,,
,,CheckTokenCapability,kernal32.dll,,,,
,,CheckTokenMembershipEx,kernal32.dll,,,,
,,ClearCommBreak,kernal32.dll,,,,
,,ClearCommError,kernal32.dll,,,,
,,CloseConsoleHandle,kernal32.dll,,,,
,,CloseHandle,kernal32.dll,,,,
,,ClosePackageInfo,kernal32.dll,,,,
,,ClosePrivateNamespace,kernal32.dll,,,,
,,CloseProfileUserMapping,kernal32.dll,,,,
,,CloseState,kernal32.dll,,,,
,,CloseStateAtom,kernal32.dll,,,,
,,CloseStateChangeNotification,kernal32.dll,,,,
,,CloseStateContainer,kernal32.dll,,,,
,,CloseStateLock,kernal32.dll,,,,
,,CloseSystemHandle,kernal32.dll,,,,
,,CloseThreadpool,kernal32.dll,,,,
,,CloseThreadpoolCleanupGroup,kernal32.dll,,,,
,,CloseThreadpoolCleanupGroupMembers,kernal32.dll,,,,
,,CloseThreadpoolIo,kernal32.dll,,,,
,,CloseThreadpoolTimer,kernal32.dll,,,,
,,CloseThreadpoolWait,kernal32.dll,,,,
,,CloseThreadpoolWork,kernal32.dll,,,,
,,CmdBatNotification,kernal32.dll,,,,
,,CommConfigDialogA,kernal32.dll,,,,
,,CommConfigDialogW,kernal32.dll,,,,
,,CommitStateAtom,kernal32.dll,,,,
,,Common32ThkLS (45),kernal32.dll,,,,
,,CommonUnimpStub (17),kernal32.dll,,,,
,,CompareCalendarDates,kernal32.dll,,,,
,,CompareFileTime,kernal32.dll,,,,
,,CompareStringA,kernal32.dll,,,,
,,CompareStringEx,kernal32.dll,,,,
,,CompareStringOrdinal,kernal32.dll,,,,
,,CompareStringW,kernal32.dll,,,,
,,ConnectNamedPipe,kernal32.dll,,,,
,,ConsoleIMERoutine,kernal32.dll,,,,
,,ConsoleMenuControl,kernal32.dll,,,,
,,ContinueDebugEvent,kernal32.dll,,,,
,,ConvertCalDateTimeToSystemTime,kernal32.dll,,,,
,,ConvertDefaultLocale,kernal32.dll,,,,
,,ConvertFiberToThread,kernal32.dll,,,,
,,ConvertNLSDayOfWeekToWin32DayOfWeek,kernal32.dll,,,,
,,ConvertSystemTimeToCalDateTime,kernal32.dll,,,,
,,ConvertThreadToFiber,kernal32.dll,,,,
,,ConvertThreadToFiberEx,kernal32.dll,,,,
,,ConvertToGlobalHandle,kernal32.dll,,,,
,,CopyContext,kernal32.dll,,,,
,,CopyExtendedContext,kernal32.dll,,,,
,,CopyFile2,kernal32.dll,,,,
,,CopyFileA,kernal32.dll,,,,
,,CopyFileExA,kernal32.dll,,,,
,,CopyFileExW,kernal32.dll,,,,
,,CopyFileTransactedA,kernal32.dll,,,,
,,CopyFileTransactedW,kernal32.dll,,,,
,,CopyFileW,kernal32.dll,,,,
,,CopyLZFile,kernal32.dll,,,,
,,CreateActCtxA,kernal32.dll,,,,
,,CreateActCtxW,kernal32.dll,,,,
,,CreateActCtxWWorker,kernal32.dll,,,,
,,CreateBoundaryDescriptorA,kernal32.dll,,,,
,,CreateBoundaryDescriptorW,kernal32.dll,,,,
,,CreateConsoleScreenBuffer,kernal32.dll,,,,
,,CreateDirectoryA,kernal32.dll,,,,
,,CreateDirectoryExA,kernal32.dll,,,,
,,CreateDirectoryExW,kernal32.dll,,,,
,,CreateDirectoryTransactedA,kernal32.dll,,,,
,,CreateDirectoryTransactedW,kernal32.dll,,,,
,,CreateDirectoryW,kernal32.dll,,,,
,,CreateEventA,kernal32.dll,,,,
,,CreateEventExA,kernal32.dll,,,,
,,CreateEventExW,kernal32.dll,,,,
,,CreateEventW,kernal32.dll,,,,
,,CreateFiber,kernal32.dll,,,,
,,CreateFiberEx,kernal32.dll,,,,
,,CreateFile2,kernal32.dll,,,,
,,CreateFileA,kernal32.dll,,,,
,,CreateFileMappingA,kernal32.dll,,,,
,,CreateFileMappingFromApp,kernal32.dll,,,,
,,CreateFileMappingNumaA,kernal32.dll,,,,
,,CreateFileMappingNumaW,kernal32.dll,,,,
,,CreateFileMappingW,kernal32.dll,,,,
,,CreateFileTransactedA,kernal32.dll,,,,
,,CreateFileTransactedW,kernal32.dll,,,,
,,CreateFileW,kernal32.dll,,,,
,,CreateHardLinkA,kernal32.dll,,,,
,,CreateHardLinkTransactedA,kernal32.dll,,,,
,,CreateHardLinkTransactedW,kernal32.dll,,,,
,,CreateHardLinkW,kernal32.dll,,,,
,,CreateIoCompletionPort,kernal32.dll,,,,
,,CreateJobObjectA,kernal32.dll,,,,
,,CreateJobObjectW,kernal32.dll,,,,
,,CreateJobSet,kernal32.dll,,,,
,,CreateKernelThread,kernal32.dll,,,,
,,CreateMailslotA,kernal32.dll,,,,
,,CreateMailslotW,kernal32.dll,,,,
,,CreateMemoryResourceNotification,kernal32.dll,,,,
,,CreateMutexA,kernal32.dll,,,,
,,CreateMutexExA,kernal32.dll,,,,
,,CreateMutexExW,kernal32.dll,,,,
,,CreateMutexW,kernal32.dll,,,,
,,CreateNamedPipeA,kernal32.dll,,,,
,,CreateNamedPipeW,kernal32.dll,,,,
,,CreateNlsSecurityDescriptor,kernal32.dll,,,,
,,CreatePipe,kernal32.dll,,,,
,,CreatePrivateNamespaceA,kernal32.dll,,,,
,,CreatePrivateNamespaceW,kernal32.dll,,,,
,,CreateProcessA,kernal32.dll,,,,
,,CreateProcessAsUserA,kernal32.dll,,,,
,,CreateProcessAsUserW,kernal32.dll,,,,
,,CreateProcessInternalA,kernal32.dll,,,,
,,CreateProcessInternalW,kernal32.dll,,,,
,,CreateProcessInternalWSecure,kernal32.dll,,,,
,,CreateProcessW,kernal32.dll,,,,
,,CreateRemoteThread,kernal32.dll,,,,
,,CreateRemoteThreadEx,kernal32.dll,,,,
,,CreateSemaphoreA,kernal32.dll,,,,
,,CreateSemaphoreExA,kernal32.dll,,,,
,,CreateSemaphoreExW,kernal32.dll,,,,
,,CreateSemaphoreW,kernal32.dll,,,,
,,CreateSocketHandle,kernal32.dll,,,,
,,CreateStateAtom,kernal32.dll,,,,
,,CreateStateChangeNotification,kernal32.dll,,,,
,,CreateStateContainer,kernal32.dll,,,,
,,CreateStateLock,kernal32.dll,,,,
,,CreateStateSubcontainer,kernal32.dll,,,,
,,CreateSymbolicLinkA,kernal32.dll,,,,
,,CreateSymbolicLinkTransactedA,kernal32.dll,,,,
,,CreateSymbolicLinkTransactedW,kernal32.dll,,,,
,,CreateSymbolicLinkW,kernal32.dll,,,,
,,CreateTapePartition,kernal32.dll,,,,
,,CreateThread,kernal32.dll,,,,
,,CreateThreadpool,kernal32.dll,,,,
,,CreateThreadpoolCleanupGroup,kernal32.dll,,,,
,,CreateThreadpoolIo,kernal32.dll,,,,
,,CreateThreadpoolTimer,kernal32.dll,,,,
,,CreateThreadpoolWait,kernal32.dll,,,,
,,CreateThreadpoolWork,kernal32.dll,,,,
,,CreateTimerQueue,kernal32.dll,,,,
,,CreateTimerQueueTimer,kernal32.dll,,,,
,,CreateToolhelp32Snapshot,kernal32.dll,,,,
,,CreateUmsCompletionList,kernal32.dll,,,,
,,CreateUmsThreadContext,kernal32.dll,,,,
,,CreateVirtualBuffer,kernal32.dll,,,,
,,CreateWaitableTimerA,kernal32.dll,,,,
,,CreateWaitableTimerExA,kernal32.dll,,,,
,,CreateWaitableTimerExW,kernal32.dll,,,,
,,CreateWaitableTimerW,kernal32.dll,,,,
,,CtrlRoutine,kernal32.dll,,,,
,,DeactivateActCtx,kernal32.dll,,,,
,,DeactivateActCtxWorker,kernal32.dll,,,,
,,DebugActiveProcess,kernal32.dll,,,,
,,DebugActiveProcessStop,kernal32.dll,,,,
,,DebugBreak,kernal32.dll,,,,
,,DebugBreakProcess,kernal32.dll,,,,
,,DebugSetProcessKillOnExit,kernal32.dll,,,,
,,DecodePointer,kernal32.dll,,,,
,,DecodeSystemPointer,kernal32.dll,,,,
,,DefineDosDeviceA,kernal32.dll,,,,
,,DefineDosDeviceW,kernal32.dll,,,,
,,DelayLoadFailureHook,kernal32.dll,,,,
,,DeleteAtom,kernal32.dll,,,,
,,DeleteBoundaryDescriptor,kernal32.dll,,,,
,,DeleteCriticalSection,kernal32.dll,,,,
,,DeleteFiber,kernal32.dll,,,,
,,DeleteFileA,kernal32.dll,,,,
,,DeleteFileTransactedA,kernal32.dll,,,,
,,DeleteFileTransactedW,kernal32.dll,,,,
,,DeleteFileW,kernal32.dll,,,,
,,DeleteProcThreadAttributeList,kernal32.dll,,,,
,,DeleteStateAtomValue,kernal32.dll,,,,
,,DeleteStateContainer,kernal32.dll,,,,
,,DeleteStateContainerValue,kernal32.dll,,,,
,,DeleteSynchronizationBarrier,kernal32.dll,,,,
,,DeleteTimerQueue,kernal32.dll,,,,
,,DeleteTimerQueueEx,kernal32.dll,,,,
,,DeleteTimerQueueTimer,kernal32.dll,,,,
,,DeleteUmsCompletionList,kernal32.dll,,,,
,,DeleteUmsThreadContext,kernal32.dll,,,,
,,DeleteVolumeMountPointA,kernal32.dll,,,,
,,DeleteVolumeMountPointW,kernal32.dll,,,,
,,DequeueUmsCompletionListItems,kernal32.dll,,,,
,,DeviceIoControl,kernal32.dll,,,,
,,DisableThreadLibraryCalls,kernal32.dll,,,,
,,DisableThreadProfiling,kernal32.dll,,,,
,,DisassociateCurrentThreadFromCallback,kernal32.dll,,,,
,,DiscardVirtualMemory,kernal32.dll,,,,
,,DisconnectNamedPipe,kernal32.dll,,,,
,,DisposeLZ32Handle (22),kernal32.dll,,,,
,,DnsHostnameToComputerNameA,kernal32.dll,,,,
,,DnsHostnameToComputerNameExW,kernal32.dll,,,,
,,DnsHostnameToComputerNameW,kernal32.dll,,,,
,,DosDateTimeToFileTime,kernal32.dll,,,,
,,DosFileHandleToWin32Handle (20),kernal32.dll,,,,
,,DosPathToSessionPathA,kernal32.dll,,,,
,,DosPathToSessionPathW,kernal32.dll,,,,
,,DuplicateConsoleHandle,kernal32.dll,,,,
,,DuplicateEncryptionInfoFileExt,kernal32.dll,,,,
,,DuplicateHandle,kernal32.dll,,,,
,,DuplicateStateContainerHandle,kernal32.dll,,,,
,,EnableThreadProfiling,kernal32.dll,,,,
,,EncodePointer,kernal32.dll,,,,
,,EncodeSystemPointer,kernal32.dll,,,,
,,EndUpdateResourceA,kernal32.dll,,,,
,,EndUpdateResourceW,kernal32.dll,,,,
,,EnterCriticalSection,kernal32.dll,,,,
,,EnterSynchronizationBarrier,kernal32.dll,,,,
,,EnterUmsSchedulingMode,kernal32.dll,,,,
,,EnumCalendarInfoA,kernal32.dll,,,,
,,EnumCalendarInfoExA,kernal32.dll,,,,
,,EnumCalendarInfoExEx,kernal32.dll,,,,
,,EnumCalendarInfoExW,kernal32.dll,,,,
,,EnumCalendarInfoW,kernal32.dll,,,,
,,EnumDateFormatsA,kernal32.dll,,,,
,,EnumDateFormatsExA,kernal32.dll,,,,
,,EnumDateFormatsExEx,kernal32.dll,,,,
,,EnumDateFormatsExW,kernal32.dll,,,,
,,EnumDateFormatsW,kernal32.dll,,,,
,,EnumLanguageGroupLocalesA,kernal32.dll,,,,
,,EnumLanguageGroupLocalesW,kernal32.dll,,,,
,,EnumResourceLanguagesA,kernal32.dll,,,,
,,EnumResourceLanguagesExA,kernal32.dll,,,,
,,EnumResourceLanguagesExW,kernal32.dll,,,,
,,EnumResourceLanguagesW,kernal32.dll,,,,
,,EnumResourceNamesA,kernal32.dll,,,,
,,EnumResourceNamesExA,kernal32.dll,,,,
,,EnumResourceNamesExW,kernal32.dll,,,,
,,EnumResourceNamesW,kernal32.dll,,,,
,,EnumResourceTypesA,kernal32.dll,,,,
,,EnumResourceTypesExA,kernal32.dll,,,,
,,EnumResourceTypesExW,kernal32.dll,,,,
,,EnumResourceTypesW,kernal32.dll,,,,
,,EnumSystemCodePagesA,kernal32.dll,,,,
,,EnumSystemCodePagesW,kernal32.dll,,,,
,,EnumSystemFirmwareTables,kernal32.dll,,,,
,,EnumSystemGeoID,kernal32.dll,,,,
,,EnumSystemLanguageGroupsA,kernal32.dll,,,,
,,EnumSystemLanguageGroupsW,kernal32.dll,,,,
,,EnumSystemLocalesA,kernal32.dll,,,,
,,EnumSystemLocalesEx,kernal32.dll,,,,
,,EnumSystemLocalesW,kernal32.dll,,,,
,,EnumTimeFormatsA,kernal32.dll,,,,
,,EnumTimeFormatsEx,kernal32.dll,,,,
,,EnumTimeFormatsW,kernal32.dll,,,,
,,EnumUILanguagesA,kernal32.dll,,,,
,,EnumUILanguagesW,kernal32.dll,,,,
,,EnumerateLocalComputerNamesA,kernal32.dll,,,,
,,EnumerateLocalComputerNamesW,kernal32.dll,,,,
,,EnumerateStateAtomValues,kernal32.dll,,,,
,,EnumerateStateContainerItems,kernal32.dll,,,,
,,EraseTape,kernal32.dll,,,,
,,EscapeCommFunction,kernal32.dll,,,,
,,ExecuteUmsThread,kernal32.dll,,,,
,,ExitProcess,kernal32.dll,,,,
,,ExitThread,kernal32.dll,,,,
,,ExitVDM,kernal32.dll,,,,
,,ExpandEnvironmentStringsA,kernal32.dll,,,,
,,ExpandEnvironmentStringsW,kernal32.dll,,,,
,,ExpungeConsoleCommandHistoryA,kernal32.dll,,,,
,,ExpungeConsoleCommandHistoryW,kernal32.dll,,,,
,,ExtendVirtualBuffer,kernal32.dll,,,,
,,FT_Exit0,kernal32.dll,,,,
,,FT_Exit12,kernal32.dll,,,,
,,FT_Exit16,kernal32.dll,,,,
,,FT_Exit20,kernal32.dll,,,,
,,FT_Exit24,kernal32.dll,,,,
,,FT_Exit28,kernal32.dll,,,,
,,FT_Exit32,kernal32.dll,,,,
,,FT_Exit36,kernal32.dll,,,,
,,FT_Exit4,kernal32.dll,,,,
,,FT_Exit40,kernal32.dll,,,,
,,FT_Exit44,kernal32.dll,,,,
,,FT_Exit48,kernal32.dll,,,,
,,FT_Exit52,kernal32.dll,,,,
,,FT_Exit56,kernal32.dll,,,,
,,FT_Exit8,kernal32.dll,,,,
,,FT_Prolog,kernal32.dll,,,,
,,FT_PrologPrime (89),kernal32.dll,,,,
,,FT_Thunk,kernal32.dll,,,,
,,FatalAppExitA,kernal32.dll,,,,
,,FatalAppExitW,kernal32.dll,,,,
,,FatalExit,kernal32.dll,,,,
,,FileTimeToDosDateTime,kernal32.dll,,,,
,,FileTimeToLocalFileTime,kernal32.dll,,,,
,,FileTimeToSystemTime,kernal32.dll,,,,
,,FillConsoleOutputAttribute,kernal32.dll,,,,
,,FillConsoleOutputCharacterA,kernal32.dll,,,,
,,FillConsoleOutputCharacterW,kernal32.dll,,,,
,,FindActCtxSectionGuid,kernal32.dll,,,,
,,FindActCtxSectionGuidWorker,kernal32.dll,,,,
,,FindActCtxSectionStringA,kernal32.dll,,,,
,,FindActCtxSectionStringW,kernal32.dll,,,,
,,FindActCtxSectionStringWWorker,kernal32.dll,,,,
,,FindAtomA,kernal32.dll,,,,
,,FindAtomW,kernal32.dll,,,,
,,FindClose,kernal32.dll,,,,
,,FindCloseChangeNotification,kernal32.dll,,,,
,,FindFirstChangeNotificationA,kernal32.dll,,,,
,,FindFirstChangeNotificationW,kernal32.dll,,,,
,,FindFirstFileA,kernal32.dll,,,,
,,FindFirstFileExA,kernal32.dll,,,,
,,FindFirstFileExW,kernal32.dll,,,,
,,FindFirstFileNameTransactedW,kernal32.dll,,,,
,,FindFirstFileNameW,kernal32.dll,,,,
,,FindFirstFileTransactedA,kernal32.dll,,,,
,,FindFirstFileTransactedW,kernal32.dll,,,,
,,FindFirstFileW,kernal32.dll,,,,
,,FindFirstStreamTransactedW,kernal32.dll,,,,
,,FindFirstStreamW,kernal32.dll,,,,
,,FindFirstVolumeA,kernal32.dll,,,,
,,FindFirstVolumeMountPointA,kernal32.dll,,,,
,,FindFirstVolumeMountPointW,kernal32.dll,,,,
,,FindFirstVolumeW,kernal32.dll,,,,
,,FindNLSString,kernal32.dll,,,,
,,FindNLSStringEx,kernal32.dll,,,,
,,FindNextChangeNotification,kernal32.dll,,,,
,,FindNextFileA,kernal32.dll,,,,
,,FindNextFileNameW,kernal32.dll,,,,
,,FindNextFileW,kernal32.dll,,,,
,,FindNextStreamW,kernal32.dll,,,,
,,FindNextVolumeA,kernal32.dll,,,,
,,FindNextVolumeMountPointA,kernal32.dll,,,,
,,FindNextVolumeMountPointW,kernal32.dll,,,,
,,FindNextVolumeW,kernal32.dll,,,,
,,FindPackagesByPackageFamily,kernal32.dll,,,,
,,FindResourceA,kernal32.dll,,,,
,,FindResourceExA,kernal32.dll,,,,
,,FindResourceExW,kernal32.dll,,,,
,,FindResourceW,kernal32.dll,,,,
,,FindStringOrdinal,kernal32.dll,,,,
,,FindVolumeClose,kernal32.dll,,,,
,,FindVolumeMountPointClose,kernal32.dll,,,,
,,FlsAlloc,kernal32.dll,,,,
,,FlsFree,kernal32.dll,,,,
,,FlsGetValue,kernal32.dll,,,,
,,FlsSetValue,kernal32.dll,,,,
,,FlushConsoleInputBuffer,kernal32.dll,,,,
,,FlushFileBuffers,kernal32.dll,,,,
,,FlushInstructionCache,kernal32.dll,,,,
,,FlushProcessWriteBuffers,kernal32.dll,,,,
,,FlushViewOfFile,kernal32.dll,,,,
,,FoldStringA,kernal32.dll,,,,
,,FoldStringW,kernal32.dll,,,,
,,FormatApplicationUserModelId,kernal32.dll,,,,
,,FormatMessageA,kernal32.dll,,,,
,,FormatMessageW,kernal32.dll,,,,
,,FreeConsole,kernal32.dll,,,,
,,FreeEnvironmentStringsA,kernal32.dll,,,,
,,FreeEnvironmentStringsW,kernal32.dll,,,,
,,FreeLSCallback,kernal32.dll,,,,
,,FreeLibrary,kernal32.dll,,,,
,,FreeLibrary16 (36),kernal32.dll,,,,
,,FreeLibraryAndExitThread,kernal32.dll,,,,
,,FreeLibraryWhenCallbackReturns,kernal32.dll,,,,
,,FreeMappedBuffer (39),kernal32.dll,,,,
,,FreeMemoryJobObject,kernal32.dll,,,,
,,FreeResource,kernal32.dll,,,,
,,FreeSLCallback,kernal32.dll,,,,
,,FreeUserPhysicalPages,kernal32.dll,,,,
,,FreeVirtualBuffer,kernal32.dll,,,,
,,GDIReallyCares (23),kernal32.dll,,,,
,,GenerateConsoleCtrlEvent,kernal32.dll,,,,
,,GetACP,kernal32.dll,,,,
,,GetActiveProcessorCount,kernal32.dll,,,,
,,GetActiveProcessorGroupCount,kernal32.dll,,,,
,,GetAppContainerAce,kernal32.dll,,,,
,,GetAppContainerNamedObjectPath,kernal32.dll,,,,
,,GetApplicationRecoveryCallback,kernal32.dll,,,,
,,GetApplicationRecoveryCallbackWorker,kernal32.dll,,,,
,,GetApplicationRestartSettings,kernal32.dll,,,,
,,GetApplicationRestartSettingsWorker,kernal32.dll,,,,
,,GetApplicationUserModelId,kernal32.dll,,,,
,,GetAtomNameA,kernal32.dll,,,,
,,GetAtomNameW,kernal32.dll,,,,
,,GetBinaryType,kernal32.dll,,,,
,,GetBinaryTypeA,kernal32.dll,,,,
,,GetBinaryTypeW,kernal32.dll,,,,
,,GetCPFileNameFromRegistry,kernal32.dll,,,,
,,GetCPInfo,kernal32.dll,,,,
,,GetCPInfoExA,kernal32.dll,,,,
,,GetCPInfoExW,kernal32.dll,,,,
,,GetCachedSigningLevel,kernal32.dll,,,,
,,GetCalendarDateFormat,kernal32.dll,,,,
,,GetCalendarDateFormatEx,kernal32.dll,,,,
