Sno,Event ID,Description,additional _notes,sec_recommendation,link_external,link_internal
1,4720,A user account was created.,na,na,na,na
2,4724,An attempt was made to reset an account's password.,na,na,na,na
3,4738,A user account was changed.,na,na,na,na
4,4722,A user account was enabled.,na,na,na,na
5,4727,A security enabled global group was created.,na,na,na,na
6,4754,A security enabled universal group was created.,na,na,na,na
7,4731,A security enabled local group was created,na,na,na,na
8,4776,The domain controller attempted to validate the credentials for an account,na,na,na,na
9,4777,The domain controller failed to validate the credentials for an account,na,na,na,na
10,4768,A Kerberos authentication ticket (TGT) was requested,na,na,na,na
11,4769,A Kerberos service ticket was requested,na,na,na,na
12,4770,A Kerberos service ticket was renewed,na,na,na,na
13,4741,A computer account was created.,na,na,na,na
14,4742,A computer account was changed.,na,na,na,na
15,4743,A computer account was deleted.,na,na,na,na
16,4739,Domain Policy was changed.,na,na,na,na
17,4782,The password hash an account was accessed.,na,na,na,na
18,4727,A security enabled global group was created.,na,na,na,na
19,4728,A member was added to a security enabled global group.,na,na,na,na
20,4729,A member was removed from a security enabled global group.,na,na,na,na
21,4730,A security enabled global group was deleted.,na,na,na,na
22,4731,A security enabled local group was created.,na,na,na,na
23,4732,A member was added to a security enabled local group.,na,na,na,na
24,4733,A member was removed from a security enabled local group.,na,na,na,na
25,4734,A security enabled local group was deleted.,na,na,na,na
26,4735,A security enabled local group was changed.,na,na,na,na
27,4737,A security enabled global group was changed.,na,na,na,na
28,4754,A security enabled universal group was created.,na,na,na,na
29,4755,A security enabled universal group was changed.,na,na,na,na
30,4756,A member was added to a security enabled universal group.,na,na,na,na
31,4757,A member was removed from a security enabled universal group.,na,na,na,na
32,4758,A security enabled universal group was deleted.,na,na,na,na
33,4720,A user account was created.,na,na,na,na
34,4722,A user account was enabled.,na,na,na,na
35,4723,An attempt was made to change an account's password.,na,na,na,na
36,4724,An attempt was made to reset an account's password.,na,na,na,na
37,4725,A user account was disabled.,na,na,na,na
38,4726,A user account was deleted.,na,na,na,na
39,4738,A user account was changed.,na,na,na,na
40,4740,A user account was locked out.,na,na,na,na
41,4765,SID History was added to an account.,na,na,na,na
42,4766,An attempt to add SID History to an account failed.,na,na,na,na
43,4767,A user account was unlocked.,na,na,na,na
44,4780,The ACL was set on accounts which are members of administrators groups.,na,na,na,na
45,4781,The name of an account was changed:,na,na,na,na
46,4934,Attributes of an Active Directory object were replicated.,na,na,na,na
47,4935,Replication failure begins.,na,na,na,na
48,4936,Replication failure ends.,na,na,na,na
49,5136,A directory service object was modified.,na,na,na,na
50,5137,A directory service object was created.,na,na,na,na
51,5138,A directory service object was undeleted.,na,na,na,na
52,5139,A directory service object was moved.,na,na,na,na
53,5141,A directory service object was deleted.,na,na,na,na
54,4932,Synchronization of a replica of an Active Directory naming context has begun.,na,na,na,na
55,4933,Synchronization of a replica of an Active Directory naming context has ended.,na,na,na,na
56,4634,An account was logged off.,na,na,na,na
57,4647,User initiated logoff.,na,na,na,na
58,4624,An account was successfully logged on.,na,na,na,na
59,4625,An account failed to log on.,na,na,na,na
60,4648,A logon was attempted using explicit credentials.,na,na,na,na
61,4675,SIDs were filtered.,na,na,na,na
62,4649,A replay attack was detected.,na,na,na,na
63,4778,A session was reconnected to a Window Station.,na,na,na,na
64,4779,A session was disconnected from a Window Station.,na,na,na,na
65,4800,The workstation was locked.,na,na,na,na
66,4801,The workstation was unlocked.,na,na,na,na
67,4802,The screen saver was invoked.,na,na,na,na
68,4803,The screen saver was dismissed.,na,na,na,na
69,5378,The requested credentials delegation was disallowed by policy.,na,na,na,na
70,5632,A request was made to authenticate to a wireless network.,na,na,na,na
71,5633,A request was made to authenticate to a wired network.,na,na,na,na
72,5140,A network share object was accessed.,na,na,na,na
73,4664,An attempt was made to create a hard link.,na,na,na,na
74,4985,The state of a transaction has changed.,na,na,na,na
75,5051,A file was virtualized.,na,na,na,na
76,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.,na,na,na,na
77,4698,A scheduled task was created.,na,na,na,na
78,4699,A scheduled task was deleted.,na,na,na,na
79,4700,A scheduled task was enabled.,na,na,na,na
80,4701,A scheduled task was disabled.,na,na,na,na
